payment_id,work_id,payment_request_date,authorization_date,payment_release_date,payment_amount_inr,payment_stage,invoice_number,cumulative_expenditure_inr,payment_status,authorized_by_agency_id,source_type,synthetic_demo_data
PAY-V2-0001963,W-000587,2025-11-09,2025-11-16,2025-11-19,2056000,3,INV-000587-03,6018000,RELEASED,IA-S05-03-02,SYNTHETIC_V2,True
PAY-V2-0001964,W-000587,2026-04-07,2026-04-15,2026-04-17,2599000,4,INV-000587-04,8617000,RELEASED,IA-S05-03-02,SYNTHETIC_V2,True
PAY-V2-0001965,W-000588,2025-05-21,2025-05-25,2025-05-26,2682000,1,INV-000588-01,2682000,RELEASED,IA-S06-03-02,SYNTHETIC_V2,True
PAY-V2-0001966,W-000588,2026-01-12,2026-01-17,2026-01-21,2303000,2,INV-000588-02,4985000,RELEASED,IA-S06-03-02,SYNTHETIC_V2,True
PAY-V2-0001967,W-000589,2024-12-23,2024-12-24,2024-12-28,1103000,1,INV-000589-01,1103000,RELEASED,IA-S01-03-02,SYNTHETIC_V2,True
PAY-V2-0001968,W-000589,2025-01-22,2025-01-29,2025-02-01,1049000,2,INV-000589-02,2152000,RELEASED,IA-S01-03-02,SYNTHETIC_V2,True
PAY-V2-0001969,W-000589,2025-02-21,2025-02-28,2025-03-02,870000,3,INV-000589-03,3022000,RELEASED,IA-S01-03-02,SYNTHETIC_V2,True
PAY-V2-0001970,W-000589,2025-03-23,2025-03-31,2025-04-01,2040000,4,INV-000589-04,5062000,RELEASED,IA-S01-03-02,SYNTHETIC_V2,True
PAY-V2-0001971,W-000589,2025-04-22,2025-04-28,2025-05-01,1682000,5,INV-000589-05,6744000,RELEASED,IA-S01-03-02,SYNTHETIC_V2,True
PAY-V2-0001972,W-000589,2025-05-22,2025-05-27,2025-06-01,1123000,6,INV-000589-06,7867000,RELEASED,IA-S01-03-02,SYNTHETIC_V2,True
PAY-V2-0001973,W-000590,2025-04-20,2025-04-21,2025-04-25,4808000,1,INV-000590-01,4808000,RELEASED,IA-S02-03-02,SYNTHETIC_V2,True
PAY-V2-0001974,W-000590,2025-09-19,2025-09-23,2025-09-24,3463000,2,INV-000590-02,8271000,RELEASED,IA-S02-03-02,SYNTHETIC_V2,True
PAY-V2-0001975,W-000591,2025-02-19,2025-02-21,2025-02-26,1404000,1,INV-000591-01,1404000,RELEASED,IA-S03-03-02,SYNTHETIC_V2,True
PAY-V2-0001976,W-000591,2025-05-13,2025-05-17,2025-05-20,1368000,2,INV-000591-02,2772000,RELEASED,IA-S03-03-02,SYNTHETIC_V2,True
PAY-V2-0001977,W-000591,2025-08-04,2025-08-10,2025-08-14,1040000,3,INV-000591-03,3812000,RELEASED,IA-S03-03-02,SYNTHETIC_V2,True
PAY-V2-0001978,W-000592,2025-01-16,2025-01-18,2025-01-19,2115000,1,INV-000592-01,2115000,RELEASED,IA-S04-03-02,SYNTHETIC_V2,True
PAY-V2-0001979,W-000592,2025-03-18,2025-03-26,2025-03-29,3070000,2,INV-000592-02,5185000,RELEASED,IA-S04-03-02,SYNTHETIC_V2,True
PAY-V2-0001980,W-000592,2025-05-18,2025-05-25,2025-05-27,1746000,3,INV-000592-03,6931000,RELEASED,IA-S04-03-02,SYNTHETIC_V2,True
PAY-V2-0001981,W-000592,2025-07-18,2025-07-20,2025-07-24,2007000,4,INV-000592-04,8938000,RELEASED,IA-S04-03-02,SYNTHETIC_V2,True
PAY-V2-0001982,W-000593,2025-03-23,2025-03-27,2025-03-28,1564000,1,INV-000593-01,1564000,RELEASED,IA-S05-03-02,SYNTHETIC_V2,True
PAY-V2-0001983,W-000593,2025-04-27,2025-04-30,2025-05-04,1068000,2,INV-000593-02,2632000,RELEASED,IA-S05-03-02,SYNTHETIC_V2,True
PAY-V2-0001984,W-000593,2025-06-01,2025-06-07,2025-06-12,1740000,3,INV-000593-03,4372000,RELEASED,IA-S05-03-02,SYNTHETIC_V2,True
PAY-V2-0001985,W-000593,2025-07-06,2025-07-12,2025-07-17,1616000,4,INV-000593-04,5988000,RELEASED,IA-S05-03-02,SYNTHETIC_V2,True
PAY-V2-0001986,W-000593,2025-08-10,2025-08-16,2025-08-19,1061000,5,INV-000593-05,7049000,RELEASED,IA-S05-03-02,SYNTHETIC_V2,True
PAY-V2-0001987,W-000594,2025-01-21,2025-01-22,2025-01-24,758000,1,INV-000594-01,758000,RELEASED,IA-S06-03-02,SYNTHETIC_V2,True
PAY-V2-0001988,W-000594,2025-03-18,2025-03-23,2025-03-27,1233000,2,INV-000594-02,1991000,RELEASED,IA-S06-03-02,SYNTHETIC_V2,True
PAY-V2-0001989,W-000594,2025-05-13,2025-05-16,2025-05-20,1476000,3,INV-000594-03,3467000,RELEASED,IA-S06-03-02,SYNTHETIC_V2,True
PAY-V2-0001990,W-000594,2025-07-08,2025-07-13,2025-07-18,1582000,4,INV-000594-04,5049000,RELEASED,IA-S06-03-02,SYNTHETIC_V2,True
PAY-V2-0001991,W-000594,2025-09-02,2025-09-08,2025-09-12,1581000,5,INV-000594-05,6630000,RELEASED,IA-S06-03-02,SYNTHETIC_V2,True
PAY-V2-0001992,W-000594,2025-10-28,2025-10-30,2025-11-03,1537000,6,INV-000594-06,8167000,RELEASED,IA-S06-03-02,SYNTHETIC_V2,True
PAY-V2-0001993,W-000595,2025-04-19,2025-04-26,2025-05-01,1132000,1,INV-000595-01,1132000,RELEASED,IA-S01-01-03,SYNTHETIC_V2,True
PAY-V2-0001994,W-000595,2025-07-30,2025-08-07,2025-08-12,510000,2,INV-000595-02,1642000,RELEASED,IA-S01-01-03,SYNTHETIC_V2,True
PAY-V2-0001995,W-000596,2025-05-15,2025-05-19,2025-05-22,2062000,1,INV-000596-01,2062000,RELEASED,IA-S02-01-03,SYNTHETIC_V2,True
PAY-V2-0001996,W-000596,2025-08-27,2025-09-03,2025-09-06,4311000,2,INV-000596-02,6373000,RELEASED,IA-S02-01-03,SYNTHETIC_V2,True
PAY-V2-0001997,W-000596,2025-12-09,2025-12-10,2025-12-13,3143000,3,INV-000596-03,9516000,RELEASED,IA-S02-01-03,SYNTHETIC_V2,True
PAY-V2-0001998,W-000597,2025-05-06,2025-05-11,2025-05-12,655000,1,INV-000597-01,655000,RELEASED,IA-S03-01-03,SYNTHETIC_V2,True
PAY-V2-0001999,W-000597,2025-08-05,2025-08-09,2025-08-11,765000,2,INV-000597-02,1420000,RELEASED,IA-S03-01-03,SYNTHETIC_V2,True
PAY-V2-0002000,W-000597,2025-11-04,2025-11-08,2025-11-12,683000,3,INV-000597-03,2103000,RELEASED,IA-S03-01-03,SYNTHETIC_V2,True
PAY-V2-0002001,W-000597,2026-02-03,2026-02-11,2026-02-12,583000,4,INV-000597-04,2686000,RELEASED,IA-S03-01-03,SYNTHETIC_V2,True
PAY-V2-0002002,W-000598,2025-02-16,2025-02-23,2025-02-24,957000,1,INV-000598-01,957000,RELEASED,IA-S04-01-03,SYNTHETIC_V2,True
PAY-V2-0002003,W-000598,2025-04-18,2025-04-23,2025-04-27,1672000,2,INV-000598-02,2629000,RELEASED,IA-S04-01-03,SYNTHETIC_V2,True
PAY-V2-0002004,W-000598,2025-06-18,2025-06-21,2025-06-26,1495000,3,INV-000598-03,4124000,RELEASED,IA-S04-01-03,SYNTHETIC_V2,True
PAY-V2-0002005,W-000598,2025-08-18,2025-08-24,2025-08-26,1667000,4,INV-000598-04,5791000,RELEASED,IA-S04-01-03,SYNTHETIC_V2,True
PAY-V2-0002006,W-000598,2025-10-18,2025-10-21,2025-10-23,1918000,5,INV-000598-05,7709000,RELEASED,IA-S04-01-03,SYNTHETIC_V2,True
PAY-V2-0002007,W-000599,2025-03-27,2025-03-28,2025-03-29,802000,1,INV-000599-01,802000,RELEASED,IA-S05-01-03,SYNTHETIC_V2,True
PAY-V2-0002008,W-000599,2025-06-03,2025-06-11,2025-06-13,397000,2,INV-000599-02,1199000,RELEASED,IA-S05-01-03,SYNTHETIC_V2,True
PAY-V2-0002009,W-000599,2025-08-10,2025-08-18,2025-08-19,665000,3,INV-000599-03,1864000,RELEASED,IA-S05-01-03,SYNTHETIC_V2,True
PAY-V2-0002010,W-000599,2025-10-17,2025-10-22,2025-10-27,724000,4,INV-000599-04,2588000,RELEASED,IA-S05-01-03,SYNTHETIC_V2,True
PAY-V2-0002011,W-000599,2025-12-24,2025-12-31,2026-01-03,659000,5,INV-000599-05,3247000,RELEASED,IA-S05-01-03,SYNTHETIC_V2,True
PAY-V2-0002012,W-000599,2026-03-02,2026-03-08,2026-03-12,770000,6,INV-000599-06,4017000,RELEASED,IA-S05-01-03,SYNTHETIC_V2,True
PAY-V2-0002013,W-000602,2025-08-05,2025-08-06,2025-08-08,2989000,1,INV-000602-01,2989000,RELEASED,IA-S02-01-03,SYNTHETIC_V2,True
PAY-V2-0002014,W-000602,2025-11-11,2025-11-12,2025-11-13,2007000,2,INV-000602-02,4996000,RELEASED,IA-S02-01-03,SYNTHETIC_V2,True
PAY-V2-0002015,W-000602,2026-02-17,2026-02-22,2026-02-23,1879000,3,INV-000602-03,6875000,RELEASED,IA-S02-01-03,SYNTHETIC_V2,True
PAY-V2-0002016,W-000602,2026-05-26,2026-06-03,2026-06-07,1153000,4,INV-000602-04,8028000,RELEASED,IA-S02-01-03,SYNTHETIC_V2,True
PAY-V2-0002017,W-000603,2025-10-05,2025-10-06,2025-10-08,2947000,1,INV-000603-01,2947000,RELEASED,IA-S03-01-03,SYNTHETIC_V2,True
PAY-V2-0002018,W-000603,2026-03-21,2026-03-25,2026-03-30,3178000,2,INV-000603-02,6125000,RELEASED,IA-S03-01-03,SYNTHETIC_V2,True
PAY-V2-0002019,W-000604,2025-08-09,2025-08-16,2025-08-21,2404000,1,INV-000604-01,2404000,RELEASED,IA-S04-01-03,SYNTHETIC_V2,True
PAY-V2-0002020,W-000604,2025-12-17,2025-12-25,2025-12-27,1533000,2,INV-000604-02,3937000,RELEASED,IA-S04-01-03,SYNTHETIC_V2,True
PAY-V2-0002021,W-000604,2026-04-26,2026-05-02,2026-05-06,2632000,3,INV-000604-03,6569000,RELEASED,IA-S04-01-03,SYNTHETIC_V2,True
PAY-V2-0002022,W-000605,2025-07-11,2025-07-17,2025-07-20,874000,1,INV-000605-01,874000,RELEASED,IA-S05-01-03,SYNTHETIC_V2,True
PAY-V2-0002023,W-000605,2025-10-24,2025-10-26,2025-10-30,638000,2,INV-000605-02,1512000,RELEASED,IA-S05-01-03,SYNTHETIC_V2,True
PAY-V2-0002024,W-000605,2026-02-06,2026-02-13,2026-02-18,1380000,3,INV-000605-03,2892000,RELEASED,IA-S05-01-03,SYNTHETIC_V2,True
PAY-V2-0002025,W-000605,2026-05-22,2026-05-23,2026-05-25,1177000,4,INV-000605-04,4069000,RELEASED,IA-S05-01-03,SYNTHETIC_V2,True
PAY-V2-0002026,W-000606,2025-10-25,2025-11-02,2025-11-05,3030000,1,INV-000606-01,3030000,RELEASED,IA-S06-01-03,SYNTHETIC_V2,True
PAY-V2-0002027,W-000606,2026-03-31,2026-04-06,2026-04-11,3695000,2,INV-000606-02,6725000,RELEASED,IA-S06-01-03,SYNTHETIC_V2,True
PAY-V2-0002028,W-000607,2025-08-17,2025-08-23,2025-08-27,1688000,1,INV-000607-01,1688000,RELEASED,IA-S01-01-03,SYNTHETIC_V2,True
PAY-V2-0002029,W-000607,2025-12-22,2025-12-29,2026-01-02,2360000,2,INV-000607-02,4048000,RELEASED,IA-S01-01-03,SYNTHETIC_V2,True
PAY-V2-0002030,W-000607,2026-04-28,2026-05-03,2026-05-06,1666000,3,INV-000607-03,5714000,RELEASED,IA-S01-01-03,SYNTHETIC_V2,True
PAY-V2-0002031,W-000608,2025-09-18,2025-09-26,2025-09-27,1599000,1,INV-000608-01,1599000,RELEASED,IA-S02-01-03,SYNTHETIC_V2,True
PAY-V2-0002032,W-000608,2025-12-15,2025-12-21,2025-12-26,1711000,2,INV-000608-02,3310000,RELEASED,IA-S02-01-03,SYNTHETIC_V2,True
PAY-V2-0002033,W-000608,2026-03-13,2026-03-17,2026-03-21,862000,3,INV-000608-03,4172000,RELEASED,IA-S02-01-03,SYNTHETIC_V2,True
PAY-V2-0002034,W-000608,2026-06-09,2026-06-12,2026-06-17,1340000,4,INV-000608-04,5512000,RELEASED,IA-S02-01-03,SYNTHETIC_V2,True
PAY-V2-0002035,W-000609,2025-07-09,2025-07-15,2025-07-19,303000,1,INV-000609-01,303000,RELEASED,IA-S03-01-03,SYNTHETIC_V2,True
PAY-V2-0002036,W-000609,2025-08-19,2025-08-25,2025-08-29,401000,2,INV-000609-02,704000,RELEASED,IA-S03-01-03,SYNTHETIC_V2,True
PAY-V2-0002037,W-000609,2025-09-29,2025-10-05,2025-10-10,189000,3,INV-000609-03,893000,RELEASED,IA-S03-01-03,SYNTHETIC_V2,True
PAY-V2-0002038,W-000609,2025-11-09,2025-11-10,2025-11-13,314000,4,INV-000609-04,1207000,RELEASED,IA-S03-01-03,SYNTHETIC_V2,True
PAY-V2-0002039,W-000609,2025-12-20,2025-12-23,2025-12-25,425000,5,INV-000609-05,1632000,RELEASED,IA-S03-01-03,SYNTHETIC_V2,True
PAY-V2-0002040,W-000609,2026-01-30,2026-02-05,2026-02-10,437000,6,INV-000609-06,2069000,RELEASED,IA-S03-01-03,SYNTHETIC_V2,True
PAY-V2-0002041,W-000610,2025-09-07,2025-09-13,2025-09-17,918000,1,INV-000610-01,918000,RELEASED,IA-S04-01-03,SYNTHETIC_V2,True
PAY-V2-0002042,W-000610,2025-12-18,2025-12-21,2025-12-24,580000,2,INV-000610-02,1498000,RELEASED,IA-S04-01-03,SYNTHETIC_V2,True
PAY-V2-0002043,W-000611,2025-09-24,2025-09-27,2025-09-29,1043000,1,INV-000611-01,1043000,RELEASED,IA-S05-01-03,SYNTHETIC_V2,True
PAY-V2-0002044,W-000611,2025-12-09,2025-12-12,2025-12-14,1901000,2,INV-000611-02,2944000,RELEASED,IA-S05-01-03,SYNTHETIC_V2,True
PAY-V2-0002045,W-000611,2026-02-23,2026-02-28,2026-03-01,1706000,3,INV-000611-03,4650000,RELEASED,IA-S05-01-03,SYNTHETIC_V2,True
PAY-V2-0002046,W-000612,2025-07-28,2025-08-04,2025-08-06,1627000,1,INV-000612-01,1627000,RELEASED,IA-S06-01-03,SYNTHETIC_V2,True
PAY-V2-0002047,W-000612,2025-09-11,2025-09-19,2025-09-22,788000,2,INV-000612-02,2415000,RELEASED,IA-S06-01-03,SYNTHETIC_V2,True
PAY-V2-0002048,W-000612,2025-10-26,2025-11-01,2025-11-05,866000,3,INV-000612-03,3281000,RELEASED,IA-S06-01-03,SYNTHETIC_V2,True
PAY-V2-0002049,W-000612,2025-12-10,2025-12-16,2025-12-18,1569000,4,INV-000612-04,4850000,RELEASED,IA-S06-01-03,SYNTHETIC_V2,True
PAY-V2-0002050,W-000613,2025-10-05,2025-10-09,2025-10-12,2800000,1,INV-000613-01,2800000,RELEASED,IA-S01-02-03,SYNTHETIC_V2,True
PAY-V2-0002051,W-000613,2025-12-10,2025-12-16,2025-12-19,2023000,2,INV-000613-02,4823000,RELEASED,IA-S01-02-03,SYNTHETIC_V2,True
PAY-V2-0002052,W-000613,2026-02-14,2026-02-18,2026-02-22,1771000,3,INV-000613-03,6594000,RELEASED,IA-S01-02-03,SYNTHETIC_V2,True
PAY-V2-0002053,W-000613,2026-04-21,2026-04-26,2026-04-29,1362000,4,INV-000613-04,7956000,RELEASED,IA-S01-02-03,SYNTHETIC_V2,True
PAY-V2-0002054,W-000613,2026-06-26,2026-06-27,2026-07-01,1215000,5,INV-000613-05,9171000,RELEASED,IA-S01-02-03,SYNTHETIC_V2,True
PAY-V2-0002055,W-000614,2025-08-22,2025-08-24,2025-08-29,1311000,1,INV-000614-01,1311000,RELEASED,IA-S02-02-03,SYNTHETIC_V2,True
PAY-V2-0002056,W-000614,2025-09-29,2025-10-03,2025-10-05,555000,2,INV-000614-02,1866000,RELEASED,IA-S02-02-03,SYNTHETIC_V2,True
PAY-V2-0002057,W-000614,2025-11-06,2025-11-09,2025-11-13,1478000,3,INV-000614-03,3344000,RELEASED,IA-S02-02-03,SYNTHETIC_V2,True
PAY-V2-0002058,W-000614,2025-12-14,2025-12-21,2025-12-26,1439000,4,INV-000614-04,4783000,RELEASED,IA-S02-02-03,SYNTHETIC_V2,True
PAY-V2-0002059,W-000614,2026-01-21,2026-01-29,2026-01-30,905000,5,INV-000614-05,5688000,RELEASED,IA-S02-02-03,SYNTHETIC_V2,True
PAY-V2-0002060,W-000614,2026-02-28,2026-03-06,2026-03-09,1401000,6,INV-000614-06,7089000,RELEASED,IA-S02-02-03,SYNTHETIC_V2,True
PAY-V2-0002061,W-000615,2025-12-24,2025-12-30,2026-01-04,4167000,1,INV-000615-01,4167000,RELEASED,IA-S03-02-03,SYNTHETIC_V2,True
PAY-V2-0002062,W-000615,2026-04-28,2026-05-06,2026-05-07,4482000,2,INV-000615-02,8649000,RELEASED,IA-S03-02-03,SYNTHETIC_V2,True
PAY-V2-0002063,W-000616,2025-10-12,2025-10-13,2025-10-14,3090000,1,INV-000616-01,3090000,RELEASED,IA-S04-02-03,SYNTHETIC_V2,True
PAY-V2-0002064,W-000616,2025-12-04,2025-12-06,2025-12-08,4612000,2,INV-000616-02,7702000,RELEASED,IA-S04-02-03,SYNTHETIC_V2,True
PAY-V2-0002065,W-000616,2026-01-26,2026-01-27,2026-01-30,2317000,3,INV-000616-03,10019000,RELEASED,IA-S04-02-03,SYNTHETIC_V2,True
PAY-V2-0002066,W-000617,2022-10-23,2022-10-27,2022-10-29,182000,1,INV-000617-01,182000,RELEASED,IA-S05-02-03,SYNTHETIC_V2,True
PAY-V2-0002067,W-000617,2023-01-23,2023-01-28,2023-01-29,185000,2,INV-000617-02,367000,RELEASED,IA-S05-02-03,SYNTHETIC_V2,True
PAY-V2-0002068,W-000617,2023-04-25,2023-05-03,2023-05-05,245000,3,INV-000617-03,612000,RELEASED,IA-S05-02-03,SYNTHETIC_V2,True
PAY-V2-0002069,W-000617,2023-07-26,2023-07-29,2023-07-30,195000,4,INV-000617-04,807000,RELEASED,IA-S05-02-03,SYNTHETIC_V2,True
PAY-V2-0002070,W-000618,2022-09-30,2022-10-02,2022-10-03,2590000,1,INV-000618-01,2590000,RELEASED,IA-S06-02-03,SYNTHETIC_V2,True
PAY-V2-0002071,W-000618,2022-10-27,2022-11-02,2022-11-03,2069000,2,INV-000618-02,4659000,RELEASED,IA-S06-02-03,SYNTHETIC_V2,True
PAY-V2-0002072,W-000618,2022-11-23,2022-12-01,2022-12-04,963000,3,INV-000618-03,5622000,RELEASED,IA-S06-02-03,SYNTHETIC_V2,True
PAY-V2-0002073,W-000618,2022-12-20,2022-12-24,2022-12-27,2354000,4,INV-000618-04,7976000,RELEASED,IA-S06-02-03,SYNTHETIC_V2,True
PAY-V2-0002074,W-000618,2023-01-16,2023-01-20,2023-01-25,2388000,5,INV-000618-05,10364000,RELEASED,IA-S06-02-03,SYNTHETIC_V2,True
PAY-V2-0002075,W-000619,2022-11-06,2022-11-09,2022-11-10,637000,1,INV-000619-01,637000,RELEASED,IA-S01-02-03,SYNTHETIC_V2,True
PAY-V2-0002076,W-000619,2023-01-07,2023-01-09,2023-01-13,572000,2,INV-000619-02,1209000,RELEASED,IA-S01-02-03,SYNTHETIC_V2,True
PAY-V2-0002077,W-000619,2023-03-10,2023-03-16,2023-03-21,801000,3,INV-000619-03,2010000,RELEASED,IA-S01-02-03,SYNTHETIC_V2,True
PAY-V2-0002078,W-000619,2023-05-11,2023-05-17,2023-05-21,578000,4,INV-000619-04,2588000,RELEASED,IA-S01-02-03,SYNTHETIC_V2,True
PAY-V2-0002079,W-000619,2023-07-12,2023-07-16,2023-07-17,774000,5,INV-000619-05,3362000,RELEASED,IA-S01-02-03,SYNTHETIC_V2,True
PAY-V2-0002080,W-000619,2023-09-12,2023-09-17,2023-09-21,643000,6,INV-000619-06,4005000,RELEASED,IA-S01-02-03,SYNTHETIC_V2,True
PAY-V2-0002081,W-000622,2023-10-31,2023-11-08,2023-11-11,1107000,1,INV-000622-01,1107000,RELEASED,IA-S04-02-03,SYNTHETIC_V2,True
PAY-V2-0002082,W-000622,2024-10-11,2024-10-18,2024-10-21,1891000,2,INV-000622-02,2998000,RELEASED,IA-S04-02-03,SYNTHETIC_V2,True
PAY-V2-0002083,W-000622,2025-09-22,2025-09-26,2025-09-27,2154000,3,INV-000622-03,5152000,RELEASED,IA-S04-02-03,SYNTHETIC_V2,True
PAY-V2-0002084,W-000623,2023-09-24,2023-09-26,2023-09-29,943000,1,INV-000623-01,943000,RELEASED,IA-S05-02-03,SYNTHETIC_V2,True
PAY-V2-0002085,W-000623,2024-06-19,2024-06-25,2024-06-30,1346000,2,INV-000623-02,2289000,RELEASED,IA-S05-02-03,SYNTHETIC_V2,True
PAY-V2-0002086,W-000623,2025-03-15,2025-03-18,2025-03-21,529000,3,INV-000623-03,2818000,RELEASED,IA-S05-02-03,SYNTHETIC_V2,True
PAY-V2-0002087,W-000623,2025-12-09,2025-12-11,2025-12-16,1220000,4,INV-000623-04,4038000,RELEASED,IA-S05-02-03,SYNTHETIC_V2,True
PAY-V2-0002088,W-000624,2024-01-25,2024-02-02,2024-02-07,2402000,1,INV-000624-01,2402000,RELEASED,IA-S06-02-03,SYNTHETIC_V2,True
PAY-V2-0002089,W-000624,2025-05-15,2025-05-23,2025-05-27,4410000,2,INV-000624-02,6812000,RELEASED,IA-S06-02-03,SYNTHETIC_V2,True
PAY-V2-0002090,W-000625,2023-10-08,2023-10-12,2023-10-16,186000,1,INV-000625-01,186000,RELEASED,IA-S01-02-03,SYNTHETIC_V2,True
PAY-V2-0002091,W-000625,2024-09-26,2024-10-02,2024-10-07,253000,2,INV-000625-02,439000,RELEASED,IA-S01-02-03,SYNTHETIC_V2,True
PAY-V2-0002092,W-000625,2025-09-15,2025-09-18,2025-09-22,184000,3,INV-000625-03,623000,RELEASED,IA-S01-02-03,SYNTHETIC_V2,True
PAY-V2-0002093,W-000626,2023-08-04,2023-08-05,2023-08-09,2272000,1,INV-000626-01,2272000,RELEASED,IA-S02-02-03,SYNTHETIC_V2,True
PAY-V2-0002094,W-000626,2024-05-11,2024-05-19,2024-05-20,1936000,2,INV-000626-02,4208000,RELEASED,IA-S02-02-03,SYNTHETIC_V2,True
PAY-V2-0002095,W-000626,2025-02-16,2025-02-17,2025-02-22,2960000,3,INV-000626-03,7168000,RELEASED,IA-S02-02-03,SYNTHETIC_V2,True
PAY-V2-0002096,W-000626,2025-11-24,2025-12-02,2025-12-03,1410000,4,INV-000626-04,8578000,RELEASED,IA-S02-02-03,SYNTHETIC_V2,True
PAY-V2-0002097,W-000627,2024-02-22,2024-03-01,2024-03-03,779000,1,INV-000627-01,779000,RELEASED,IA-S03-02-03,SYNTHETIC_V2,True
PAY-V2-0002098,W-000627,2025-05-29,2025-06-05,2025-06-08,1384000,2,INV-000627-02,2163000,RELEASED,IA-S03-02-03,SYNTHETIC_V2,True
PAY-V2-0002099,W-000628,2023-10-29,2023-10-30,2023-11-02,401000,1,INV-000628-01,401000,RELEASED,IA-S04-02-03,SYNTHETIC_V2,True
PAY-V2-0002100,W-000628,2024-10-10,2024-10-15,2024-10-18,428000,2,INV-000628-02,829000,RELEASED,IA-S04-02-03,SYNTHETIC_V2,True
PAY-V2-0002101,W-000628,2025-09-22,2025-09-28,2025-10-01,678000,3,INV-000628-03,1507000,RELEASED,IA-S04-02-03,SYNTHETIC_V2,True
PAY-V2-0002102,W-000629,2023-01-28,2023-02-05,2023-02-09,1230000,1,INV-000629-01,1230000,RELEASED,IA-S05-02-03,SYNTHETIC_V2,True
PAY-V2-0002103,W-000629,2023-02-25,2023-03-03,2023-03-04,1016000,2,INV-000629-02,2246000,RELEASED,IA-S05-02-03,SYNTHETIC_V2,True
PAY-V2-0002104,W-000629,2023-03-25,2023-03-30,2023-03-31,594000,3,INV-000629-03,2840000,RELEASED,IA-S05-02-03,SYNTHETIC_V2,True
PAY-V2-0002105,W-000629,2023-04-22,2023-04-28,2023-04-29,653000,4,INV-000629-04,3493000,RELEASED,IA-S05-02-03,SYNTHETIC_V2,True
PAY-V2-0002106,W-000629,2023-05-20,2023-05-23,2023-05-25,1247000,5,INV-000629-05,4740000,RELEASED,IA-S05-02-03,SYNTHETIC_V2,True
PAY-V2-0002107,W-000629,2023-06-17,2023-06-22,2023-06-24,1110000,6,INV-000629-06,5850000,RELEASED,IA-S05-02-03,SYNTHETIC_V2,True
PAY-V2-0002108,W-000630,2023-04-06,2023-04-07,2023-04-09,2445000,1,INV-000630-01,2445000,RELEASED,IA-S06-02-03,SYNTHETIC_V2,True
PAY-V2-0002109,W-000630,2023-08-05,2023-08-11,2023-08-16,1686000,2,INV-000630-02,4131000,RELEASED,IA-S06-02-03,SYNTHETIC_V2,True
PAY-V2-0002110,W-000631,2023-02-19,2023-02-22,2023-02-25,2778000,1,INV-000631-01,2778000,RELEASED,IA-S01-03-03,SYNTHETIC_V2,True
PAY-V2-0002111,W-000631,2023-04-21,2023-04-25,2023-04-27,1163000,2,INV-000631-02,3941000,RELEASED,IA-S01-03-03,SYNTHETIC_V2,True
PAY-V2-0002112,W-000631,2023-06-21,2023-06-25,2023-06-29,2682000,3,INV-000631-03,6623000,RELEASED,IA-S01-03-03,SYNTHETIC_V2,True
PAY-V2-0002113,W-000632,2023-03-27,2023-03-31,2023-04-05,1109000,1,INV-000632-01,1109000,RELEASED,IA-S02-03-03,SYNTHETIC_V2,True
PAY-V2-0002114,W-000632,2023-07-07,2023-07-14,2023-07-15,1122000,2,INV-000632-02,2231000,RELEASED,IA-S02-03-03,SYNTHETIC_V2,True
PAY-V2-0002115,W-000632,2023-10-17,2023-10-25,2023-10-27,1152000,3,INV-000632-03,3383000,RELEASED,IA-S02-03-03,SYNTHETIC_V2,True
PAY-V2-0002116,W-000632,2024-01-27,2024-02-03,2024-02-07,1275000,4,INV-000632-04,4658000,RELEASED,IA-S02-03-03,SYNTHETIC_V2,True
PAY-V2-0002117,W-000633,2023-03-07,2023-03-09,2023-03-13,970000,1,INV-000633-01,970000,RELEASED,IA-S03-03-03,SYNTHETIC_V2,True
PAY-V2-0002118,W-000633,2023-05-10,2023-05-12,2023-05-13,1284000,2,INV-000633-02,2254000,RELEASED,IA-S03-03-03,SYNTHETIC_V2,True
PAY-V2-0002119,W-000633,2023-07-13,2023-07-21,2023-07-25,1445000,3,INV-000633-03,3699000,RELEASED,IA-S03-03-03,SYNTHETIC_V2,True
PAY-V2-0002120,W-000633,2023-09-15,2023-09-19,2023-09-20,951000,4,INV-000633-04,4650000,RELEASED,IA-S03-03-03,SYNTHETIC_V2,True
PAY-V2-0002121,W-000633,2023-11-18,2023-11-26,2023-11-28,1751000,5,INV-000633-05,6401000,RELEASED,IA-S03-03-03,SYNTHETIC_V2,True
PAY-V2-0002122,W-000634,2023-02-22,2023-03-02,2023-03-07,83000,1,INV-000634-01,83000,RELEASED,IA-S04-03-03,SYNTHETIC_V2,True
PAY-V2-0002123,W-000634,2023-04-19,2023-04-24,2023-04-28,116000,2,INV-000634-02,199000,RELEASED,IA-S04-03-03,SYNTHETIC_V2,True
PAY-V2-0002124,W-000634,2023-06-14,2023-06-20,2023-06-25,56000,3,INV-000634-03,255000,RELEASED,IA-S04-03-03,SYNTHETIC_V2,True
PAY-V2-0002125,W-000634,2023-08-09,2023-08-12,2023-08-14,121000,4,INV-000634-04,376000,RELEASED,IA-S04-03-03,SYNTHETIC_V2,True
PAY-V2-0002126,W-000634,2023-10-04,2023-10-07,2023-10-12,103000,5,INV-000634-05,479000,RELEASED,IA-S04-03-03,SYNTHETIC_V2,True
