group_type,group_value,metric,month,current_value,current_event_count,baseline_month_count,historical_event_support,median,mad,q1,q3,iqr,p10,p90,robust_z,deviation_method,ewma,trend_deviation_flag
DISTRICT_SECTOR,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 2|sector=Drinking Water,recommended_amount_inr,2025-05,0.0,0,6,3,0.0,0.0,0.0,1441500.0,1441500.0,0.0,2776000.0,,INSUFFICIENT_HISTORICAL_EVENT_SUPPORT,956320.5130826026,False
DISTRICT_SECTOR,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 2|sector=Drinking Water,recommended_amount_inr,2025-06,870000.0,1,6,3,0.0,0.0,0.0,1441500.0,1441500.0,0.0,2776000.0,,INSUFFICIENT_HISTORICAL_EVENT_SUPPORT,930424.3591578219,False
DISTRICT_SECTOR,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 2|sector=Drinking Water,recommended_amount_inr,2025-07,0.0,0,6,4,435000.0,435000.0,0.0,1659000.0,1659000.0,0.0,2776000.0,,INSUFFICIENT_HISTORICAL_EVENT_SUPPORT,651297.0514104753,False
DISTRICT_SECTOR,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 2|sector=Drinking Water,recommended_amount_inr,2025-08,0.0,0,6,3,0.0,0.0,0.0,652500.0,652500.0,0.0,2250000.0,,INSUFFICIENT_HISTORICAL_EVENT_SUPPORT,455907.93598733266,False
DISTRICT_SECTOR,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 2|sector=Drinking Water,recommended_amount_inr,2025-09,0.0,0,6,3,0.0,0.0,0.0,652500.0,652500.0,0.0,2250000.0,,INSUFFICIENT_HISTORICAL_EVENT_SUPPORT,319135.5551911328,False
DISTRICT_SECTOR,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 2|sector=Drinking Water,recommended_amount_inr,2025-10,0.0,0,6,3,0.0,0.0,0.0,652500.0,652500.0,0.0,2250000.0,,INSUFFICIENT_HISTORICAL_EVENT_SUPPORT,223394.88863379296,False
DISTRICT_SECTOR,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 2|sector=Drinking Water,recommended_amount_inr,2025-11,0.0,0,6,1,0.0,0.0,0.0,0.0,0.0,0.0,435000.0,,INSUFFICIENT_HISTORICAL_EVENT_SUPPORT,156376.42204365507,False
DISTRICT_SECTOR,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 2|sector=Drinking Water,recommended_amount_inr,2025-12,0.0,0,6,1,0.0,0.0,0.0,0.0,0.0,0.0,435000.0,,INSUFFICIENT_HISTORICAL_EVENT_SUPPORT,109463.49543055854,False
DISTRICT_SECTOR,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 2|sector=Drinking Water,recommended_amount_inr,2026-01,0.0,0,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,INSUFFICIENT_HISTORICAL_EVENT_SUPPORT,76624.44680139098,False
DISTRICT_SECTOR,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 2|sector=Drinking Water,recommended_amount_inr,2026-02,604000.0,1,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,INSUFFICIENT_HISTORICAL_EVENT_SUPPORT,234837.1127609737,False
DISTRICT_SECTOR,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 2|sector=Drinking Water,recommended_amount_inr,2026-03,0.0,0,6,1,0.0,0.0,0.0,0.0,0.0,0.0,302000.0,,INSUFFICIENT_HISTORICAL_EVENT_SUPPORT,164385.97893268158,False
DISTRICT_SECTOR,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 2|sector=Drinking Water,recommended_amount_inr,2026-04,0.0,0,6,1,0.0,0.0,0.0,0.0,0.0,0.0,302000.0,,INSUFFICIENT_HISTORICAL_EVENT_SUPPORT,115070.1852528771,False
DISTRICT_SECTOR,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 2|sector=Drinking Water,recommended_amount_inr,2026-05,1488000.0,1,6,1,0.0,0.0,0.0,0.0,0.0,0.0,302000.0,,INSUFFICIENT_HISTORICAL_EVENT_SUPPORT,526949.129677014,False
DISTRICT_SECTOR,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 2|sector=Drinking Water,recommended_amount_inr,2026-06,0.0,0,6,2,0.0,0.0,0.0,453000.0,453000.0,0.0,1046000.0,,INSUFFICIENT_HISTORICAL_EVENT_SUPPORT,368864.39077390975,False
DISTRICT_SECTOR,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 2|sector=Drinking Water,recommended_amount_inr,2026-07,0.0,0,6,2,0.0,0.0,0.0,453000.0,453000.0,0.0,1046000.0,,INSUFFICIENT_HISTORICAL_EVENT_SUPPORT,258205.0735417368,False
DISTRICT_SECTOR,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 2|sector=Drinking Water,recommended_amount_inr,2026-08,0.0,0,6,2,0.0,0.0,0.0,453000.0,453000.0,0.0,1046000.0,,INSUFFICIENT_HISTORICAL_EVENT_SUPPORT,180743.55147921576,False
DISTRICT_SECTOR,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 2|sector=Drinking Water,released_payment_amount_inr,2024-05,219000.0,1,0,0,,,,,,,,,INSUFFICIENT_PRIOR_MONTHS,219000.0,False
DISTRICT_SECTOR,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 2|sector=Drinking Water,released_payment_amount_inr,2024-06,0.0,0,1,1,219000.0,0.0,219000.0,219000.0,0.0,219000.0,219000.0,,INSUFFICIENT_PRIOR_MONTHS,153300.0,False
DISTRICT_SECTOR,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 2|sector=Drinking Water,released_payment_amount_inr,2024-07,840000.0,1,2,1,109500.0,109500.0,54750.0,164250.0,109500.0,21900.0,197100.0,,INSUFFICIENT_PRIOR_MONTHS,359310.0,False
DISTRICT_SECTOR,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 2|sector=Drinking Water,released_payment_amount_inr,2024-08,831000.0,4,3,2,219000.0,219000.0,109500.0,529500.0,420000.0,43800.0,715800.0,,INSUFFICIENT_PRIOR_MONTHS,500817.0,False
DISTRICT_SECTOR,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 2|sector=Drinking Water,released_payment_amount_inr,2024-09,761000.0,1,4,6,525000.0,310500.0,164250.0,833250.0,669000.0,65700.00000000001,837300.0,,INSUFFICIENT_HISTORICAL_EVENT_SUPPORT,578871.8999999999,False
DISTRICT_SECTOR,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 2|sector=Drinking Water,released_payment_amount_inr,2024-10,662000.0,1,5,7,761000.0,79000.0,219000.0,831000.0,612000.0,87600.0,836400.0,,INSUFFICIENT_HISTORICAL_EVENT_SUPPORT,603810.3299999998,False
DISTRICT_SECTOR,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 2|sector=Drinking Water,released_payment_amount_inr,2024-11,220000.0,1,6,8,711500.0,124000.0,329750.0,813500.0,483750.0,109500.0,835500.0,,INSUFFICIENT_HISTORICAL_EVENT_SUPPORT,488667.23099999985,False
DISTRICT_SECTOR,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 2|sector=Drinking Water,released_payment_amount_inr,2024-12,0.0,0,6,8,711500.0,124000.0,330500.0,813500.0,483000.0,110000.0,835500.0,,INSUFFICIENT_HISTORICAL_EVENT_SUPPORT,342067.0616999999,False
DISTRICT_SECTOR,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 2|sector=Drinking Water,released_payment_amount_inr,2025-01,383000.0,1,6,8,711500.0,124000.0,330500.0,813500.0,483000.0,110000.0,835500.0,,INSUFFICIENT_HISTORICAL_EVENT_SUPPORT,354346.9431899999,False
DISTRICT_SECTOR,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 2|sector=Drinking Water,released_payment_amount_inr,2025-02,0.0,0,6,8,522500.0,270500.0,260750.0,736250.0,475500.0,110000.0,796000.0,,INSUFFICIENT_HISTORICAL_EVENT_SUPPORT,248042.86023299993,False
DISTRICT_SECTOR,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 2|sector=Drinking Water,released_payment_amount_inr,2025-03,1284000.0,4,6,4,301500.0,301500.0,55000.0,592250.0,537250.0,0.0,711500.0,,INSUFFICIENT_HISTORICAL_EVENT_SUPPORT,558830.0021630999,False
DISTRICT_SECTOR,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 2|sector=Drinking Water,released_payment_amount_inr,2025-04,435000.0,1,6,7,301500.0,301500.0,55000.0,592250.0,537250.0,0.0,973000.0,,INSUFFICIENT_HISTORICAL_EVENT_SUPPORT,521681.0015141699,False
DISTRICT_SECTOR,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 2|sector=Drinking Water,released_payment_amount_inr,2025-05,797000.0,3,6,7,301500.0,217500.0,55000.0,422000.0,367000.0,0.0,859500.0,,INSUFFICIENT_HISTORICAL_EVENT_SUPPORT,604276.7010599189,False
DISTRICT_SECTOR,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 2|sector=Drinking Water,released_payment_amount_inr,2025-06,381000.0,1,6,9,409000.0,398500.0,95750.0,706500.0,610750.0,0.0,1040500.0,,INSUFFICIENT_HISTORICAL_EVENT_SUPPORT,537293.6907419432,False
DISTRICT_SECTOR,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 2|sector=Drinking Water,released_payment_amount_inr,2025-07,1255000.0,6,6,10,409000.0,208000.0,381500.0,706500.0,325000.0,190500.0,1040500.0,,INSUFFICIENT_HISTORICAL_EVENT_SUPPORT,752605.5835193603,False
DISTRICT_SECTOR,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 2|sector=Drinking Water,released_payment_amount_inr,2025-08,543000.0,2,6,15,616000.0,425500.0,394500.0,1140500.0,746000.0,190500.0,1269500.0,,INSUFFICIENT_HISTORICAL_EVENT_SUPPORT,689723.9084635521,False
DISTRICT_SECTOR,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 2|sector=Drinking Water,released_payment_amount_inr,2025-09,817000.0,2,6,17,670000.0,262000.0,462000.0,1140500.0,678500.0,408000.0,1269500.0,,INSUFFICIENT_HISTORICAL_EVENT_SUPPORT,727906.7359244865,False
DISTRICT_SECTOR,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 2|sector=Drinking Water,released_payment_amount_inr,2025-10,0.0,0,6,15,670000.0,191000.0,462000.0,812000.0,350000.0,408000.0,1036000.0,,INSUFFICIENT_HISTORICAL_EVENT_SUPPORT,509534.71514714055,False
DISTRICT_SECTOR,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 2|sector=Drinking Water,released_payment_amount_inr,2025-11,231000.0,1,6,14,670000.0,218000.0,421500.0,812000.0,390500.0,190500.0,1036000.0,,INSUFFICIENT_HISTORICAL_EVENT_SUPPORT,425974.30060299835,False
DISTRICT_SECTOR,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 2|sector=Drinking Water,released_payment_amount_inr,2025-12,155000.0,1,6,12,462000.0,293000.0,268500.0,748500.0,480000.0,115500.0,1036000.0,,INSUFFICIENT_HISTORICAL_EVENT_SUPPORT,344682.0104220988,False
DISTRICT_SECTOR,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 2|sector=Drinking Water,released_payment_amount_inr,2026-01,1880000.0,3,6,12,387000.0,309500.0,174000.0,748500.0,574500.0,77500.0,1036000.0,,INSUFFICIENT_HISTORICAL_EVENT_SUPPORT,805277.4072954692,False
DISTRICT_SECTOR,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 2|sector=Drinking Water,released_payment_amount_inr,2026-02,1105000.0,2,6,9,387000.0,309500.0,174000.0,748500.0,574500.0,77500.0,1348500.0,,INSUFFICIENT_HISTORICAL_EVENT_SUPPORT,895194.1851068283,False
DISTRICT_SECTOR,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 2|sector=Drinking Water,released_payment_amount_inr,2026-03,1442000.0,2,6,9,524000.0,446500.0,174000.0,1033000.0,859000.0,77500.0,1492500.0,,INSUFFICIENT_HISTORICAL_EVENT_SUPPORT,1059235.9295747797,False
DISTRICT_SECTOR,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 2|sector=Drinking Water,released_payment_amount_inr,2026-04,0.0,0,6,9,668000.0,590500.0,174000.0,1357750.0,1183750.0,77500.0,1661000.0,,INSUFFICIENT_HISTORICAL_EVENT_SUPPORT,741465.1507023458,False
DISTRICT_SECTOR,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 2|sector=Drinking Water,released_payment_amount_inr,2026-05,0.0,0,6,9,668000.0,590500.0,174000.0,1357750.0,1183750.0,77500.0,1661000.0,,INSUFFICIENT_HISTORICAL_EVENT_SUPPORT,519025.605491642,False
DISTRICT_SECTOR,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 2|sector=Drinking Water,released_payment_amount_inr,2026-06,948000.0,2,6,8,630000.0,630000.0,38750.0,1357750.0,1319000.0,0.0,1661000.0,,INSUFFICIENT_HISTORICAL_EVENT_SUPPORT,647717.9238441493,False
DISTRICT_SECTOR,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 2|sector=Drinking Water,released_payment_amount_inr,2026-07,1017000.0,2,6,9,1026500.0,634500.0,237000.0,1357750.0,1120750.0,0.0,1661000.0,,INSUFFICIENT_HISTORICAL_EVENT_SUPPORT,758502.5466909045,False
DISTRICT_SECTOR,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 2|sector=Drinking Water,released_payment_amount_inr,2026-08,164000.0,6,6,8,982500.0,291000.0,237000.0,1083000.0,846000.0,0.0,1273500.0,,INSUFFICIENT_HISTORICAL_EVENT_SUPPORT,580151.7826836332,False
DISTRICT_SECTOR,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 2|sector=Drinking Water,released_payment_count,2024-05,1.0,1,0,0,,,,,,,,,INSUFFICIENT_PRIOR_MONTHS,1.0,False
DISTRICT_SECTOR,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 2|sector=Drinking Water,released_payment_count,2024-06,0.0,0,1,1,1.0,0.0,1.0,1.0,0.0,1.0,1.0,,INSUFFICIENT_PRIOR_MONTHS,0.7,False
DISTRICT_SECTOR,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 2|sector=Drinking Water,released_payment_count,2024-07,1.0,1,2,1,0.5,0.5,0.25,0.75,0.5,0.1,0.9,,INSUFFICIENT_PRIOR_MONTHS,0.7899999999999999,False
DISTRICT_SECTOR,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 2|sector=Drinking Water,released_payment_count,2024-08,4.0,4,3,2,1.0,0.0,0.5,1.0,0.5,0.2,1.0,,INSUFFICIENT_PRIOR_MONTHS,1.753,False
DISTRICT_SECTOR,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 2|sector=Drinking Water,released_payment_count,2024-09,1.0,1,4,6,1.0,0.5,0.75,1.75,1.0,0.30000000000000004,3.1000000000000005,,INSUFFICIENT_HISTORICAL_EVENT_SUPPORT,1.5271,False
DISTRICT_SECTOR,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 2|sector=Drinking Water,released_payment_count,2024-10,1.0,1,5,7,1.0,0.0,1.0,1.0,0.0,0.4,2.8000000000000003,,INSUFFICIENT_HISTORICAL_EVENT_SUPPORT,1.3689699999999998,False
DISTRICT_SECTOR,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 2|sector=Drinking Water,released_payment_count,2024-11,1.0,1,6,8,1.0,0.0,1.0,1.0,0.0,0.5,2.5,,INSUFFICIENT_HISTORICAL_EVENT_SUPPORT,1.2582789999999997,False
DISTRICT_SECTOR,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 2|sector=Drinking Water,released_payment_count,2024-12,0.0,0,6,8,1.0,0.0,1.0,1.0,0.0,0.5,2.5,,INSUFFICIENT_HISTORICAL_EVENT_SUPPORT,0.8807952999999997,False
DISTRICT_SECTOR,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 2|sector=Drinking Water,released_payment_count,2025-01,1.0,1,6,8,1.0,0.0,1.0,1.0,0.0,0.5,2.5,,INSUFFICIENT_HISTORICAL_EVENT_SUPPORT,0.9165567099999998,False
DISTRICT_SECTOR,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 2|sector=Drinking Water,released_payment_count,2025-02,0.0,0,6,8,1.0,0.0,1.0,1.0,0.0,0.5,2.5,,INSUFFICIENT_HISTORICAL_EVENT_SUPPORT,0.6415896969999998,False
DISTRICT_SECTOR,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 2|sector=Drinking Water,released_payment_count,2025-03,4.0,4,6,4,1.0,0.0,0.25,1.0,0.75,0.0,1.0,,INSUFFICIENT_HISTORICAL_EVENT_SUPPORT,1.6491127878999998,False
DISTRICT_SECTOR,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 2|sector=Drinking Water,released_payment_count,2025-04,1.0,1,6,7,1.0,0.5,0.25,1.0,0.75,0.0,2.5,,INSUFFICIENT_HISTORICAL_EVENT_SUPPORT,1.4543789515299999,False
DISTRICT_SECTOR,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 2|sector=Drinking Water,released_payment_count,2025-05,3.0,3,6,7,1.0,0.5,0.25,1.0,0.75,0.0,2.5,,INSUFFICIENT_HISTORICAL_EVENT_SUPPORT,1.9180652660709998,False
DISTRICT_SECTOR,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 2|sector=Drinking Water,released_payment_count,2025-06,1.0,1,6,9,1.0,1.0,0.25,2.5,2.25,0.0,3.5,,INSUFFICIENT_HISTORICAL_EVENT_SUPPORT,1.6426456862496999,False
DISTRICT_SECTOR,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 2|sector=Drinking Water,released_payment_count,2025-07,6.0,6,6,10,1.0,0.5,1.0,2.5,1.5,0.5,3.5,,INSUFFICIENT_HISTORICAL_EVENT_SUPPORT,2.9498519803747896,False
DISTRICT_SECTOR,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 2|sector=Drinking Water,released_payment_count,2025-08,2.0,2,6,15,2.0,1.5,1.0,3.75,2.75,0.5,5.0,,INSUFFICIENT_HISTORICAL_EVENT_SUPPORT,2.6648963862623525,False
DISTRICT_SECTOR,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 2|sector=Drinking Water,released_payment_count,2025-09,2.0,2,6,17,2.5,1.5,1.25,3.75,2.5,1.0,5.0,,INSUFFICIENT_HISTORICAL_EVENT_SUPPORT,2.4654274703836467,False
DISTRICT_SECTOR,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 2|sector=Drinking Water,released_payment_count,2025-10,0.0,0,6,15,2.0,1.0,1.25,2.75,1.5,1.0,4.5,,INSUFFICIENT_HISTORICAL_EVENT_SUPPORT,1.7257992292685527,False
DISTRICT_SECTOR,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 2|sector=Drinking Water,released_payment_count,2025-11,1.0,1,6,14,2.0,1.0,1.25,2.75,1.5,0.5,4.5,,INSUFFICIENT_HISTORICAL_EVENT_SUPPORT,1.508059460487987,False
DISTRICT_SECTOR,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 2|sector=Drinking Water,released_payment_count,2025-12,1.0,1,6,12,1.5,0.5,1.0,2.0,1.0,0.5,4.0,,INSUFFICIENT_HISTORICAL_EVENT_SUPPORT,1.3556416223415908,False
DISTRICT_SECTOR,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 2|sector=Drinking Water,released_payment_count,2026-01,3.0,3,6,12,1.5,0.5,1.0,2.0,1.0,0.5,4.0,,INSUFFICIENT_HISTORICAL_EVENT_SUPPORT,1.8489491356391135,False
DISTRICT_SECTOR,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 2|sector=Drinking Water,released_payment_count,2026-02,2.0,2,6,9,1.5,0.5,1.0,2.0,1.0,0.5,2.5,,INSUFFICIENT_HISTORICAL_EVENT_SUPPORT,1.8942643949473794,False
DISTRICT_SECTOR,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 2|sector=Drinking Water,released_payment_count,2026-03,2.0,2,6,9,1.5,0.5,1.0,2.0,1.0,0.5,2.5,,INSUFFICIENT_HISTORICAL_EVENT_SUPPORT,1.9259850764631654,False
DISTRICT_SECTOR,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 2|sector=Drinking Water,released_payment_count,2026-04,0.0,0,6,9,1.5,0.5,1.0,2.0,1.0,0.5,2.5,,INSUFFICIENT_HISTORICAL_EVENT_SUPPORT,1.3481895535242157,False
DISTRICT_SECTOR,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 2|sector=Drinking Water,released_payment_count,2026-05,0.0,0,6,9,1.5,0.5,1.0,2.0,1.0,0.5,2.5,,INSUFFICIENT_HISTORICAL_EVENT_SUPPORT,0.9437326874669509,False
DISTRICT_SECTOR,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 2|sector=Drinking Water,released_payment_count,2026-06,2.0,2,6,8,1.5,1.0,0.25,2.0,1.75,0.0,2.5,,INSUFFICIENT_HISTORICAL_EVENT_SUPPORT,1.2606128812268655,False
DISTRICT_SECTOR,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 2|sector=Drinking Water,released_payment_count,2026-07,2.0,2,6,9,2.0,0.5,0.5,2.0,1.5,0.0,2.5,,INSUFFICIENT_HISTORICAL_EVENT_SUPPORT,1.4824290168588057,False
DISTRICT_SECTOR,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 2|sector=Drinking Water,released_payment_count,2026-08,6.0,6,6,8,2.0,0.0,0.5,2.0,1.5,0.0,2.0,,INSUFFICIENT_HISTORICAL_EVENT_SUPPORT,2.8377003118011634,False
DISTRICT_SECTOR,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 2|sector=Drinking Water,sanction_work_count,2023-12,1.0,1,0,0,,,,,,,,,INSUFFICIENT_PRIOR_MONTHS,1.0,False
DISTRICT_SECTOR,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 2|sector=Drinking Water,sanction_work_count,2024-01,0.0,0,1,1,1.0,0.0,1.0,1.0,0.0,1.0,1.0,,INSUFFICIENT_PRIOR_MONTHS,0.7,False
DISTRICT_SECTOR,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 2|sector=Drinking Water,sanction_work_count,2024-02,0.0,0,2,1,0.5,0.5,0.25,0.75,0.5,0.1,0.9,,INSUFFICIENT_PRIOR_MONTHS,0.48999999999999994,False
DISTRICT_SECTOR,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 2|sector=Drinking Water,sanction_work_count,2024-03,0.0,0,3,1,0.0,0.0,0.0,0.5,0.5,0.0,0.8,,INSUFFICIENT_PRIOR_MONTHS,0.3429999999999999,False
DISTRICT_SECTOR,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 2|sector=Drinking Water,sanction_work_count,2024-04,2.0,2,4,1,0.0,0.0,0.0,0.25,0.25,0.0,0.7000000000000002,,INSUFFICIENT_HISTORICAL_EVENT_SUPPORT,0.8400999999999998,False
DISTRICT_SECTOR,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 2|sector=Drinking Water,sanction_work_count,2024-05,1.0,1,5,3,0.0,0.0,0.0,1.0,1.0,0.0,1.6,,INSUFFICIENT_HISTORICAL_EVENT_SUPPORT,0.8880699999999999,False
DISTRICT_SECTOR,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 2|sector=Drinking Water,sanction_work_count,2024-06,1.0,1,6,4,0.5,0.5,0.0,1.0,1.0,0.0,1.5,,INSUFFICIENT_HISTORICAL_EVENT_SUPPORT,0.9216489999999999,False
DISTRICT_SECTOR,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 2|sector=Drinking Water,sanction_work_count,2024-07,0.0,0,6,4,0.5,0.5,0.0,1.0,1.0,0.0,1.5,,INSUFFICIENT_HISTORICAL_EVENT_SUPPORT,0.6451543,False
DISTRICT_SECTOR,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 2|sector=Drinking Water,sanction_work_count,2024-08,0.0,0,6,4,0.5,0.5,0.0,1.0,1.0,0.0,1.5,,INSUFFICIENT_HISTORICAL_EVENT_SUPPORT,0.45160800999999995,False
DISTRICT_SECTOR,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 2|sector=Drinking Water,sanction_work_count,2024-09,0.0,0,6,4,0.5,0.5,0.0,1.0,1.0,0.0,1.5,,INSUFFICIENT_HISTORICAL_EVENT_SUPPORT,0.3161256069999999,False
DISTRICT_SECTOR,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 2|sector=Drinking Water,sanction_work_count,2024-10,1.0,1,6,4,0.5,0.5,0.0,1.0,1.0,0.0,1.5,,INSUFFICIENT_HISTORICAL_EVENT_SUPPORT,0.5212879249,False
DISTRICT_SECTOR,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 2|sector=Drinking Water,sanction_work_count,2024-11,0.0,0,6,3,0.5,0.5,0.0,1.0,1.0,0.0,1.0,,INSUFFICIENT_HISTORICAL_EVENT_SUPPORT,0.36490154743,False
DISTRICT_SECTOR,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 2|sector=Drinking Water,sanction_work_count,2024-12,0.0,0,6,2,0.0,0.0,0.0,0.75,0.75,0.0,1.0,,INSUFFICIENT_HISTORICAL_EVENT_SUPPORT,0.25543108320099994,False
DISTRICT_SECTOR,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 2|sector=Drinking Water,sanction_work_count,2025-01,0.0,0,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.5,,INSUFFICIENT_HISTORICAL_EVENT_SUPPORT,0.17880175824069994,False
DISTRICT_SECTOR,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 2|sector=Drinking Water,sanction_work_count,2025-02,0.0,0,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.5,,INSUFFICIENT_HISTORICAL_EVENT_SUPPORT,0.12516123076848995,False
DISTRICT_SECTOR,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 2|sector=Drinking Water,sanction_work_count,2025-03,1.0,1,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.5,,INSUFFICIENT_HISTORICAL_EVENT_SUPPORT,0.38761286153794294,False
DISTRICT_SECTOR,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 2|sector=Drinking Water,sanction_work_count,2025-04,1.0,1,6,2,0.0,0.0,0.0,0.75,0.75,0.0,1.0,,INSUFFICIENT_HISTORICAL_EVENT_SUPPORT,0.5713290030765601,False
DISTRICT_SECTOR,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 2|sector=Drinking Water,sanction_work_count,2025-05,1.0,1,6,2,0.0,0.0,0.0,0.75,0.75,0.0,1.0,,INSUFFICIENT_HISTORICAL_EVENT_SUPPORT,0.6999303021535921,False
DISTRICT_SECTOR,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 2|sector=Drinking Water,sanction_work_count,2025-06,1.0,1,6,3,0.5,0.5,0.0,1.0,1.0,0.0,1.0,,INSUFFICIENT_HISTORICAL_EVENT_SUPPORT,0.7899512115075145,False
DISTRICT_SECTOR,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 2|sector=Drinking Water,sanction_work_count,2025-07,0.0,0,6,4,1.0,0.0,0.25,1.0,0.75,0.0,1.0,,INSUFFICIENT_HISTORICAL_EVENT_SUPPORT,0.5529658480552601,False
DISTRICT_SECTOR,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 2|sector=Drinking Water,sanction_work_count,2025-08,0.0,0,6,4,1.0,0.0,0.25,1.0,0.75,0.0,1.0,,INSUFFICIENT_HISTORICAL_EVENT_SUPPORT,0.387076093638682,False
